job_title,company_name,location,summary
Data Engineer,CK Franchising. Inc.,Irvine. CA 92614,Working with data scientists and digital teams to meet strategic data needs through project management tools like Microsoft Teams. JIRA. are desired.
Data Engineer,Screen Actors Guild- Producers Pension & Health...,Burbank. CA,Work closely with data experts to build and maintain KPI data dictionary. metadata. data standards. and ensure adherence to the Plans Analytics Method and data
Data Engineer,Dovenmuehle,San Francisco. CA 94110 (Mission area),Collaborate with data analysts to bridge business goals with data delivery. Oversee systems tracking data quality and consistency.
Data Engineer,Edmunds.com,Santa Monica. CA 90404 (Mid-City area)•Remote,Big data tools: Spark. etc. Work with stakeholders including the Executive. Product. and Data teams to assist with data-related technical issues and support
Data Reliability Engineer,Hulu,Santa Monica. CA,A passionate bias to action and passion for delivering high-quality data solutions. The Data Reliability Engineering team for Disney Streaming Services (DSS). a
Data Engineer - (B3),Applied Materials Inc.,Santa Clara. CA,Experience building/operating systems for data extraction. ingestion and processing of large data sets. Build and maintain tools and infrastructure for data
Staff Data Engineer,ServiceNow,Santa Clara. CA 95054,Training analysts and data scientists alike on available data sources. The Staff Data Engineer will also work closely with ServiceNow data analysts and data
Data Science Engineer,Andreessen Horowitz,Menlo Park. CA 94025,Relevant multi-year work or academic experience in data science or related fields such as data engineering. data analysis. software engineering. statistics. etc
Data Visualization Engineer,Verana Health,San Francisco. CA•Remote,Prior experience in performing and documenting data analysis. data validation. and data mapping/design. Proven experience of working as a data scientist. or in
Senior Data Warehouse Engineer,sweetgreen,California•Remote,You will build and guide processes to support efficient data transformation. data structures. metadata/data dictionaries. and workload management.
MMS Data Management Application Engineer,Hitachi ABB Power Grids,San Jose. CA,This role is responsible for focusing in retrieving. validating. processing and storing various data to guarantee the accessibility. reliability. and timeliness
Data Engineer,Brillio,Santa Clara. CA 95054,Strong experience and understanding of very largescale data architecture. solutioning and operationalization of data warehouses. data lakes and analytics
Data Engineer. Data Platform,Peloton,Santa Clara. CA,As a part of the Data Platform team. you will be working across a wide range of problems in the data ingestion. data compute. data transport. data orchestration
Data Engineer - (B3),Applied Materials Inc.,Santa Clara. CA,Experience building/operating systems for data extraction. ingestion and processing of large data sets. Build and maintain tools and infrastructure for data
Senior Data Engineer - Remote,Toptal,San Francisco. CA 94104 (Financial District area)+1 location•Remote,Design your full-time freelance career as a top freelance data engineer with Toptal. Plus. Toptal takes care of all the overhead. empowering you to focus on
Data Engineer. Machine Learning,Motional,Santa Monica. CA,Experience with ETL or large scale data processing. 1+ year or professional work experience as a software engineer or relevant internships.
AWS Data Engineer,Infostretch Corporation,Santa Clara. CA 95054,Build and maintain the infrastructure and data pipelines required for optimal extraction. transformation. and loading of data from a wide variety of data
Senior Data Engineer,Synthego,Menlo Park. CA 94025•Temporarily Remote,5 years professional software experience. including data warehousing. data integration. and ETL/analytics pipelines. Must wear a mask when working onsite.
Software/Data Engineer. RegLab,Stanford University,Stanford. CA,Lead the implementation of data standards and common data elements for data collection. Expert ability to collect data using a variety of methods. such as data
Senior Data Engineer,Commure,San Francisco. CA,Identify and solve issues to improve data quality. Improve data foundational procedures. guidelines and standards. Medical. Dental. and Vision Coverage.
Big Data Engineer,Adobe,San Jose. CA,Interface with internal data science. engineering and data consumer teams to understand the data needs. We are looking for a passionate big data engineer who
Data Visualization Engineer (Tableau Developer),Luxoft,Oakland. CA,Experience defining and rationalizing complex data models within data warehousing environment. Knowledge of data warehousing and information management best
Data Engineer,Thermo Fisher Scientific,Carlsbad. CA 92008+1 location,Demonstrated experience resolving complex data integration problems; Strong prior technical. development background in either data Services or Engineering.
Data Engineer,Amazon Web Services. Inc.,East Palo Alto. CA,You should have deep expertise and passion in working with large data sets. data visualization. building complex data processes. performance tuning. bringing
Data Engineer. Senior,Mainspring Energy,Menlo Park. CA 94025,Guide our mechanical and electrical engineers to data nirvana. Build the tools and platforms for Mainspring engineers and data scientists to access. analyze.
Data Engineer,Network Capital Funding Corporation,Irvine. CA,Utilized gathered data to generate tasks that can be automated to keep track of data/models/requirement changes. Development of data related/instruments.
Data Engineer,Jobox.ai,California•Remote,Make sure quality of the data and data processes meet standards. Create new or modify existing data pipelines. Own and Be part of something big.
Senior Data Engineer,Chartboost,San Francisco. CA,Experience with data pipelines processing larger than 10TB of data. Develop reliable data pipelines that convert data into powerful signals and features.
Data Engineer,Levi Strauss & Co.,San Francisco. CA (North Waterfront area),Experience with data modeling. data warehousing. KPI generation etc. Strong knowledge of data pipeline and workflow management tools (Airflow).
Senior Data Engineer,First Tech Federal Credit Union,San Jose. CA 95134 (North San Jose area),Work with data and analytics experts to strive for greater functionality in the organizations data integration platform.
Data Engineer,Ontic,Chatsworth. CA 91311,Contribute to data pipelines that clean. transform and aggregate data from disparate data sources into reporting data stores.
Data Engineer,Milliman,San Diego. CA 92128 (Rancho Bernardo area)•Remote,Knowledge of healthcare data coding systems and common administrative data formats. Working with Data Analytics teams to support their data infrastructure needs
Data Center Controls Engineer. SCADA,Google,Sunnyvale. CA (Lakewood area),Develop data center monitoring and control system designs and related hardware and software configurations (includes basis of design. constructability.
Senior Data Engineer,AltaMed Health Services Corporation,Montebello. CA 90640•Remote,Proficiency in all facets of DW Architecture. data flow strategy. data modeling. metadata and master data management.
Senior Data Engineer. Data Platform,Peloton,Santa Clara. CA,Coach and mentor engineers across the engineering team to build a data culture. You have 5+ years of experience in engineering. especially data infrastructure
Data Engineer,Twilio,California•Remote,This person will design and build data integrations. ETL workflows. dimensional data models. and manage our data warehouse and integration infrastructure that
Big Data/Python Engineer - Junior,Bloom Energy,San Jose. CA 95134 (North San Jose area),Design and delivery of scalable data-driven applications in real-time platforms. Assist in analyzing diverse sets of imperfect data and finding common patterns.
Freelance - Data Engineer,Saatchi & Saatchi (We Are Saatchi),El Segundo. CA 90245,Familiarity with best practices for data visualization. 5+ years of hands-on data experience. An ideal candidate will have hands-on experience working with ETL
Data Engineer,UJET,San Francisco. CA•Remote,Document and maintain data dictionary to empower a data democracy. Develop data tests for automation. Experience in building data pipelines.
Data Center Manufacturing Engineer. Standards. Tools and Met...,Google,San Francisco. CA,Train engineers in advanced manufacturing engineering methods and tools. Standardize and document tools and methods for optimal manufacturing and assembly of
Senior Data Engineer. Business Intelligence,Square,San Francisco. CA,7+ years of data engineer experience in a successful data engineering or business intelligence team with expert knowledge of data warehouse architecture and
Senior Data Analysis Engineer,light.io,Redwood City. CA,We analyze data needed to provide actionable insights. draw conclusions from the data and support data driven decision making at Light.
Data Engineer,Bytedance,Mountain View. CA,Experience with performing data analysis. data ingestion and data integration; Experience with schema design. data modeling and SQL queries;
Junior Data Science Engineer (Remote),Wurl. Inc,California•Remote,Wurl is seeking a detail-oriented data scientist/engineer with strong analytical and communication skills to join and grow with our data analytics team.
Sr. Process Engineer I. Data Analytics,Kite Pharma,Santa Monica. CA,Knowledge of data management tools and statistical process controls is required. Lead critical investigations. identify root causes and implement data-driven
SENIOR DATA PLATFORM ENGINEER,Harnham,San Francisco. CA,Define best data driven practices. Implement and maintain data processing code. Commercial experience with managing data infrastructure.
Senior Presales Engineer - Unstructured Data Solutions,Dell Technologies,Orange County. CA,Our field sales professionals rely on proactive technical support during the sales process – and our expert Systems Engineering team always steps up to the mark
Senior Data Analytics Engineer (MicroStrategy and SQL),TrueCar. Inc.,Santa Monica. CA,Collaborate with data operations and analysts to ensure correct data sources and dataset development. Participate in application validation and QA efforts as
Data Engineer [Remote],Blue Owl,San Francisco. CA•Remote,Experience with integrations and data warehousing using tools like redshift. Stong. hands-on experience with Python-centric code base and Python best practices.
Senior Data Engineer,Headspace,Santa Monica. CA•Remote,Work in setting up a world class data platform to enable highly personalized experiences for our members. while getting data to stakeholders. when. where and
Data Engineer,Happiest Baby. Inc.,Los Angeles. CA 90016,As a data engineer. you will design. build and maintain Happiest Babys data lake. Work with data scientists and engineers to set up infrastructure to deploy AI
Senior Data Engineer,LaunchDarkly,California+1 location•Remote,5+ years of professional experience as a data engineer or similar job functions. You will work with other data engineers and analytics engineers to shape the
Data Engineer - Location Flexible,Dropbox,California•Remote,You will help define company data assets (data model). spark. sparkSQL and hiveSQL jobs to populate data models.
